"Partner Country","Species","Quantity (t)"
"Greece","Bass and bream","574"
"Norway","Salmonids","469"
"Italy","Bass and bream","208"
"Greece","Salmonids","42"
"Italy","Salmonids","29"
"Spain","Salmonids","4"
"Czechia","Salmonids","4"
"France","Salmonids","2"
"Morocco","Bass and bream","1"
"Romania","Salmonids","1"
"Lithuania","Salmonids","1"
"Other","Salmonids","1"
"Norway","Bass and bream","0"
"Türkiye","Salmonids","0"
"Other","Bass and bream","0"
"Netherlands","Salmonids","0"
"Greece","Carp","0"
