"Partner Country","Species","Quantity (t)"
"France","Bass and bream","1,028"
"Germany","Bass and bream","464"
"Germany","Salmonids","205"
"Slovakia","Salmonids","138"
"Hungary","Salmonids","62"
"Switzerland","Salmonids","50"
"Italy","Salmonids","49"
"Portugal","Bass and bream","33"
"Spain","Bass and bream","29"
"Czechia","Salmonids","17"
"Ireland","Bass and bream","17"
"Bulgaria","Salmonids","6"
"Lithuania","Salmonids","6"
"Croatia","Salmonids","6"
"Slovenia","Salmonids","5"
"Italy","Bass and bream","3"
"Slovakia","Bass and bream","2"
"Croatia","Bass and bream","2"
"Cyprus","Salmonids","1"
"Slovenia","Bass and bream","1"
"Serbia","Salmonids","0"
"Sweden","Salmonids","0"
"Poland","Salmonids","0"
"Belgium","Bass and bream","0"
"Switzerland","Bass and bream","0"
"Netherlands","Salmonids","0"
"Netherlands","Bass and bream","0"
"Hungary","Bass and bream","0"
"Other","Bass and bream","0"
"Germany","Carp","0"
"Slovenia","Carp","0"
"Bulgaria","Bass and bream","0"
"Italy","Carp","0"
"Norway","Salmonids","0"
"Czechia","Bass and bream","0"
"Hungary","Carp","0"
"Poland","Carp","0"
"Belgium","Salmonids","0"
"Romania","Salmonids","0"
"Poland","Bass and bream","0"
