"Partner Country","Species","Quantity (t)"
"Germany","Salmonids","7,043"
"Belgium","Salmonids","2,172"
"Türkiye","Bass and bream","1,554"
"Netherlands","Salmonids","1,269"
"Sweden","Salmonids","1,203"
"Czechia","Salmonids","1,051"
"Croatia","Bass and bream","534"
"Denmark","Salmonids","492"
"Lithuania","Salmonids","320"
"Netherlands","Bass and bream","290"
"Germany","Bass and bream","281"
"Italy","Salmonids","192"
"Italy","Bass and bream","174"
"Slovenia","Bass and bream","154"
"France","Salmonids","130"
"Latvia","Salmonids","120"
"Poland","Salmonids","117"
"Czechia","Carp","93"
"Spain","Salmonids","55"
"Hungary","Salmonids","44"
"Türkiye","Salmonids","34"
"Germany","Carp","32"
"Croatia","Salmonids","26"
"Netherlands","Carp","16"
"Slovakia","Salmonids","12"
"Czechia","Bass and bream","11"
"France","Bass and bream","10"
"Spain","Bass and bream","9"
"Hungary","Bass and bream","4"
"Other","Salmonids","3"
"Greece","Bass and bream","3"
"Greece","Salmonids","3"
"Italy","Carp","2"
"Hungary","Carp","1"
"Denmark","Bass and bream","1"
"Ireland","Salmonids","1"
"Slovenia","Salmonids","1"
"Ireland","Bass and bream","1"
"Norway","Salmonids","0"
"Bulgaria","Carp","0"
"Belgium","Bass and bream","0"
"Iceland","Salmonids","0"
"Portugal","Salmonids","0"
"Switzerland","Salmonids","0"
