"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Whiteleg shrimp","17","0.411","0.17",22,"1,319,059","7,759,170","541,708"
"Rainbow trout","1300","2.083","0.343",1691,"1,301,000","3,793,003","2,710,417"
"Sea trout","1300","2.083","0.343",511,"393,162","1,146,244","819,087"
"Common carp","1500","3","0.68",560,"373,213","548,843","1,119,640"
"North African catfish","1500","1","0.3",431,"287,253","957,511","287,253"
"Silver carp","1500","3","0.68",10,"6,719","9,880","20,156"
"Sturgeons nei","6000","1","0.3",15,"2,545","8,484","2,545"
"Brook trout","","","",661,"","",""
"Salmonoids nei","","","",414,"","",""
"Arctic char","","","",280,"","",""
"Wels(=Som) catfish","","","",40,"","",""
"Grass carp(=White amur)","","","",33,"","",""
"Pike-perch","","","",20,"","",""
"Freshwater fishes nei","","","",14,"","",""
"Huchen","","","",6,"","",""
"Northern pike","","","",5,"","",""
"Tench","","","",5,"","",""
"Euro-American crayfishes nei","","","",1,"","",""
