"Partner Country","Species","Quantity (t)"
"Portugal","Bass and bream","3,647"
"France","Bass and bream","2,784"
"Germany","Bass and bream","2,641"
"Spain","Bass and bream","1,115"
"Other","Bass and bream","967"
"Switzerland","Bass and bream","726"
"Greece","Salmonids","502"
"Croatia","Bass and bream","501"
"Malta","Bass and bream","500"
"Malta","Salmonids","436"
"Croatia","Salmonids","422"
"Other","Salmonids","406"
"Albania","Bass and bream","321"
"Austria","Bass and bream","253"
"Slovenia","Salmonids","230"
"Germany","Salmonids","169"
"Austria","Salmonids","160"
"Hungary","Salmonids","135"
"Romania","Salmonids","129"
"Albania","Salmonids","126"
"Slovenia","Bass and bream","125"
"Switzerland","Salmonids","106"
"Belgium","Bass and bream","105"
"France","Salmonids","101"
"Romania","Carp","94"
"Czechia","Bass and bream","92"
"Romania","Bass and bream","82"
"Netherlands","Bass and bream","69"
"Germany","Carp","56"
"Czechia","Salmonids","48"
"Hungary","Bass and bream","40"
"Ireland","Bass and bream","39"
"Poland","Bass and bream","38"
"Netherlands","Salmonids","36"
"Spain","Salmonids","29"
"Slovakia","Bass and bream","23"
"Greece","Bass and bream","21"
"Serbia","Salmonids","18"
"Slovakia","Salmonids","13"
"Malta","Carp","12"
"Other","Carp","9"
"Portugal","Carp","9"
"Denmark","Salmonids","7"
"Netherlands","Carp","7"
"Austria","Carp","5"
"France","Carp","5"
"Spain","Carp","4"
"Poland","Salmonids","4"
"Portugal","Salmonids","4"
"Bosnia and Herzegovina","Salmonids","3"
"Bulgaria","Salmonids","3"
"Greece","Carp","3"
"Ireland","Salmonids","3"
"Belgium","Salmonids","3"
"Lithuania","Salmonids","2"
"Montenegro","Salmonids","2"
"Sweden","Bass and bream","1"
"United Kingdom","Salmonids","1"
"Bulgaria","Bass and bream","1"
"Poland","Carp","1"
"North Macedonia","Salmonids","1"
"Latvia","Salmonids","1"
"Denmark","Carp","0"
"Denmark","Bass and bream","0"
"Sweden","Salmonids","0"
"Switzerland","Carp","0"
"Estonia","Carp","0"
"Estonia","Salmonids","0"
"Finland","Bass and bream","0"
"Belgium","Carp","0"
"Slovenia","Carp","0"
"Finland","Salmonids","0"
"Sweden","Carp","0"
