"Partner Country","Species","Quantity (t)"
"Netherlands","Salmonids","10,587"
"Sweden","Salmonids","8,317"
"France","Salmonids","3,821"
"Poland","Salmonids","3,350"
"Denmark","Salmonids","3,107"
"Germany","Salmonids","2,890"
"Other","Salmonids","2,792"
"Lithuania","Salmonids","1,367"
"Other","Carp","1,153"
"Netherlands","Bass and bream","903"
"France","Bass and bream","512"
"Spain","Bass and bream","366"
"Ireland","Salmonids","227"
"Estonia","Salmonids","180"
"Morocco","Bass and bream","114"
"Greece","Bass and bream","109"
"Iceland","Salmonids","94"
"Italy","Bass and bream","46"
"Czechia","Carp","41"
"Spain","Salmonids","39"
"Hungary","Carp","33"
"United Kingdom","Bass and bream","25"
"Denmark","Bass and bream","24"
"Greece","Salmonids","21"
"Germany","Bass and bream","15"
"Italy","Salmonids","14"
"Bulgaria","Salmonids","9"
"Netherlands","Carp","8"
"France","Carp","7"
"Croatia","Bass and bream","3"
"Spain","Carp","3"
"Türkiye","Bass and bream","3"
"Germany","Carp","3"
"Other","Bass and bream","3"
"Norway","Salmonids","1"
"Sweden","Bass and bream","1"
"Portugal","Salmonids","0"
"Austria","Salmonids","0"
"Romania","Salmonids","0"
"Bulgaria","Carp","0"
"Ireland","Bass and bream","0"
"Ireland","Carp","0"
"United Kingdom","Salmonids","0"
"Czechia","Salmonids","0"
"Morocco","Salmonids","0"
