"Partner Country","Species","Quantity (t)"
"Serbia","Carp","127"
"Croatia","Carp","125"
"Norway","Salmonids","93"
"Other","Salmonids","86"
"Türkiye","Bass and bream","62"
"Greece","Bass and bream","49"
"Croatia","Salmonids","35"
"Lithuania","Salmonids","25"
"Denmark","Salmonids","21"
"Faroe Islands","Salmonids","14"
"Croatia","Bass and bream","9"
"Malta","Bass and bream","8"
"Spain","Bass and bream","6"
"Spain","Salmonids","6"
"Tunisia","Bass and bream","5"
"Poland","Salmonids","4"
"Portugal","Salmonids","2"
"France","Salmonids","2"
"United Kingdom","Salmonids","2"
"Other","Carp","1"
"Morocco","Bass and bream","0"
"Netherlands","Bass and bream","0"
"Iceland","Salmonids","0"
"Other","Bass and bream","0"
"Italy","Bass and bream","0"
"Morocco","Salmonids","0"
"Albania","Bass and bream","0"
"Latvia","Salmonids","0"
