"Partner Country","Species","Quantity (t)"
"Romania","Salmonids","476"
"Romania","Carp","437"
"Serbia","Salmonids","276"
"Serbia","Bass and bream","140"
"Greece","Salmonids","80"
"Other","Bass and bream","23"
"North Macedonia","Carp","18"
"Netherlands","Salmonids","10"
"United Kingdom","Carp","10"
"Belgium","Salmonids","5"
"Cyprus","Salmonids","2"
"Other","Salmonids","2"
"Netherlands","Carp","1"
"Germany","Carp","1"
"Germany","Salmonids","1"
"Greece","Carp","0"
"Belgium","Carp","0"
"France","Carp","0"
"Denmark","Carp","0"
"Austria","Salmonids","0"
"Austria","Carp","0"
"France","Salmonids","0"
"Netherlands","Bass and bream","0"
"Greece","Bass and bream","0"
