"Partner Country","Species","Quantity (t)"
"Greece","Bass and bream","2,215"
"Czechia","Salmonids","827"
"Sweden","Salmonids","705"
"Spain","Salmonids","390"
"Türkiye","Bass and bream","374"
"Denmark","Salmonids","326"
"Greece","Salmonids","225"
"Romania","Salmonids","165"
"Croatia","Carp","130"
"Germany","Salmonids","125"
"Lithuania","Salmonids","105"
"Türkiye","Carp","52"
"Netherlands","Salmonids","48"
"Latvia","Salmonids","40"
"Poland","Salmonids","37"
"France","Salmonids","35"
"Denmark","Bass and bream","8"
"Romania","Carp","4"
"Poland","Bass and bream","3"
"Netherlands","Carp","3"
"Italy","Salmonids","2"
"Spain","Bass and bream","2"
"Netherlands","Bass and bream","1"
"Finland","Salmonids","1"
"Portugal","Bass and bream","0"
"Czechia","Bass and bream","0"
"Other","Bass and bream","0"
"Portugal","Salmonids","0"
