"Partner Country","Species","Quantity (t)"
"Italy","Bass and bream","8,139"
"Slovenia","Bass and bream","776"
"Germany","Bass and bream","719"
"Spain","Bass and bream","649"
"Austria","Bass and bream","563"
"France","Bass and bream","497"
"Italy","Salmonids","463"
"Poland","Bass and bream","347"
"Italy","Carp","315"
"Czechia","Bass and bream","299"
"Serbia","Carp","254"
"Switzerland","Bass and bream","245"
"Montenegro","Bass and bream","230"
"Hungary","Carp","147"
"Bosnia and Herzegovina","Carp","137"
"Serbia","Bass and bream","137"
"Bulgaria","Carp","130"
"Bosnia and Herzegovina","Bass and bream","121"
"Bosnia and Herzegovina","Salmonids","116"
"Slovenia","Salmonids","113"
"Romania","Carp","113"
"Lithuania","Carp","104"
"Montenegro","Salmonids","92"
"Poland","Carp","71"
"Spain","Carp","68"
"Slovakia","Carp","49"
"Serbia","Salmonids","44"
"Slovakia","Bass and bream","42"
"Other","Bass and bream","38"
"Hungary","Bass and bream","37"
"Netherlands","Bass and bream","25"
"Hungary","Salmonids","19"
"Other","Salmonids","19"
"Slovenia","Carp","8"
"Portugal","Bass and bream","5"
"Germany","Carp","5"
"Czechia","Carp","4"
"North Macedonia","Salmonids","4"
"Austria","Salmonids","3"
"Slovakia","Salmonids","3"
"Belgium","Bass and bream","2"
"Sweden","Salmonids","1"
"Sweden","Carp","1"
"Sweden","Bass and bream","0"
"Romania","Bass and bream","0"
