"Partner Country","Species","Quantity (t)"
"Italy","Bass and bream","697"
"Czechia","Salmonids","553"
"Italy","Salmonids","520"
"Greece","Bass and bream","472"
"Serbia","Salmonids","465"
"Hungary","Carp","314"
"Netherlands","Salmonids","184"
"Germany","Salmonids","163"
"Netherlands","Bass and bream","97"
"Other","Salmonids","92"
"Denmark","Salmonids","79"
"Spain","Bass and bream","76"
"Slovenia","Salmonids","76"
"Slovenia","Bass and bream","70"
"Spain","Salmonids","61"
"Poland","Salmonids","33"
"Hungary","Salmonids","27"
"Lithuania","Salmonids","15"
"Other","Bass and bream","15"
"Spain","Carp","9"
"France","Salmonids","8"
"Portugal","Salmonids","3"
"Austria","Salmonids","3"
"Romania","Bass and bream","2"
"Bosnia and Herzegovina","Salmonids","2"
"Portugal","Bass and bream","1"
"France","Bass and bream","1"
"Latvia","Salmonids","1"
"Belgium","Salmonids","0"
