"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"European seabass","400","2.083","0.214",10034,"25,086,000","117,224,299","52,262,500"
"Gilthead seabream","350","2.083","0.26",7462,"21,319,714","81,998,901","44,416,071"
"Common carp","1500","3","0.68",2447,"1,631,093","2,398,667","4,893,280"
"Meagre","2500","1","0.3",1086,"434,296","1,447,653","434,296"
"Rainbow trout","1300","2.083","0.343",498,"383,223","1,117,268","798,381"
"Bighead carp","1500","3","0.68",522,"347,993","511,755","1,043,980"
"Silver carp","1500","3","0.68",367,"244,413","359,431","733,240"
"Sea trout","1300","2.083","0.343",14,"10,654","31,061","22,196"
"Atlantic bluefin tuna","","","",3270,"","",""
"Grass carp(=White amur)","","","",229,"","",""
"Wels(=Som) catfish","","","",61,"","",""
"Freshwater fishes nei","","","",45,"","",""
"Pike-perch","","","",6,"","",""
"Northern pike","","","",3,"","",""
