"Partner Country","Species","Quantity (t)"
"Greece","Salmonids","643"
"Norway","Salmonids","385"
"Greece","Bass and bream","296"
"Other","Salmonids","224"
"Poland","Salmonids","105"
"Germany","Salmonids","101"
"Netherlands","Salmonids","93"
"Denmark","Salmonids","86"
"Romania","Salmonids","51"
"Belgium","Salmonids","43"
"France","Salmonids","43"
"Other","Carp","30"
"Sweden","Salmonids","30"
"Other","Bass and bream","29"
"Lithuania","Salmonids","23"
"Ireland","Salmonids","23"
"Spain","Salmonids","21"
"United Kingdom","Salmonids","14"
"Portugal","Salmonids","13"
"Spain","Bass and bream","12"
"Netherlands","Bass and bream","12"
"Bulgaria","Salmonids","7"
"Latvia","Salmonids","5"
"Austria","Salmonids","3"
"Italy","Salmonids","2"
"Tunisia","Bass and bream","2"
"Romania","Bass and bream","1"
"Morocco","Bass and bream","1"
"Portugal","Bass and bream","0"
"Serbia","Salmonids","0"
