"Partner Country","Species","Quantity (t)"
"Poland","Carp","2,780"
"Germany","Carp","2,706"
"Romania","Salmonids","2,235"
"Slovakia","Salmonids","1,938"
"Greece","Salmonids","1,904"
"Slovakia","Carp","1,528"
"Bulgaria","Salmonids","1,376"
"Hungary","Salmonids","1,255"
"France","Carp","1,049"
"Austria","Carp","787"
"Spain","Salmonids","651"
"Croatia","Salmonids","501"
"Romania","Carp","467"
"Austria","Salmonids","411"
"Germany","Salmonids","366"
"Hungary","Carp","299"
"Romania","Bass and bream","246"
"Belgium","Carp","215"
"Lithuania","Carp","124"
"Serbia","Salmonids","101"
"Serbia","Carp","77"
"Other","Salmonids","67"
"Slovakia","Bass and bream","45"
"Poland","Salmonids","38"
"Sweden","Carp","33"
"Slovenia","Salmonids","33"
"Italy","Carp","16"
"Moldova","Salmonids","4"
"France","Salmonids","3"
"Germany","Bass and bream","2"
"Bulgaria","Carp","2"
"Netherlands","Salmonids","2"
"Bosnia and Herzegovina","Salmonids","1"
"Hungary","Bass and bream","1"
"Lithuania","Salmonids","1"
"Austria","Bass and bream","1"
"Italy","Salmonids","1"
"Netherlands","Bass and bream","0"
"Poland","Bass and bream","0"
"Denmark","Salmonids","0"
"Italy","Bass and bream","0"
"Belgium","Salmonids","0"
"Slovenia","Carp","0"
"Finland","Salmonids","0"
