"Partner Country","Species","Quantity (t)"
"Poland","Salmonids","8,102"
"Sweden","Salmonids","6,679"
"Denmark","Salmonids","2,934"
"Germany","Salmonids","1,588"
"Netherlands","Salmonids","1,058"
"Other","Salmonids","868"
"Croatia","Bass and bream","344"
"Greece","Bass and bream","283"
"Lithuania","Salmonids","180"
"France","Salmonids","100"
"Italy","Salmonids","86"
"Spain","Salmonids","80"
"Latvia","Salmonids","67"
"Hungary","Carp","54"
"Slovakia","Salmonids","51"
"Germany","Bass and bream","48"
"Poland","Carp","45"
"Italy","Bass and bream","38"
"Finland","Salmonids","30"
"Netherlands","Bass and bream","27"
"Slovakia","Carp","25"
"Austria","Salmonids","18"
"Spain","Bass and bream","17"
"Estonia","Salmonids","15"
"Iceland","Salmonids","15"
"France","Bass and bream","3"
"Poland","Bass and bream","2"
"Belgium","Salmonids","1"
"United Kingdom","Salmonids","1"
"Romania","Salmonids","0"
"Lithuania","Bass and bream","0"
"Austria","Bass and bream","0"
"Hungary","Salmonids","0"
"Germany","Carp","0"
"Portugal","Salmonids","0"
"Norway","Salmonids","0"
"Denmark","Bass and bream","0"
"Slovakia","Bass and bream","0"
