"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Common carp","1500","3","0.0068",16437,"10,958,000","1,611,470,588","32,874,000"
"Rainbow trout","1300","2.083","0.00343",438,"336,923","98,228,302","701,923"
"North African catfish","1500","1","0.003",250,"166,667","55,555,556","166,667"
"Bighead carp","1500","3","0.0068",148,"98,667","14,509,804","296,000"
"Silver carp","1500","3","0.0068",61,"40,667","5,980,392","122,000"
"Freshwater fishes nei","","","",690,"","",""
"Grass carp(=White amur)","","","",548,"","",""
"Brook trout","","","",257,"","",""
"Tench","","","",150,"","",""
"Northern pike","","","",116,"","",""
"Wels(=Som) catfish","","","",78,"","",""
"Pike-perch","","","",57,"","",""
"European perch","","","",24,"","",""
"European whitefish","","","",5,"","",""
