"Partner Country","Species","Quantity (t)"
"Germany","Salmonids","31,961"
"Netherlands","Salmonids","23,101"
"Poland","Salmonids","20,562"
"Italy","Salmonids","16,265"
"Other","Salmonids","16,207"
"France","Salmonids","15,429"
"Spain","Salmonids","12,659"
"Sweden","Salmonids","2,764"
"Czechia","Salmonids","2,604"
"Romania","Salmonids","1,948"
"Portugal","Salmonids","1,921"
"Latvia","Salmonids","1,195"
"Belgium","Salmonids","1,187"
"Lithuania","Salmonids","861"
"Estonia","Salmonids","825"
"Switzerland","Salmonids","814"
"Greece","Salmonids","699"
"Ireland","Salmonids","591"
"Bulgaria","Salmonids","565"
"United Kingdom","Salmonids","499"
"Austria","Salmonids","454"
"Iceland","Salmonids","406"
"Norway","Salmonids","203"
"Slovakia","Salmonids","187"
"Sweden","Bass and bream","157"
"Spain","Bass and bream","139"
"Norway","Bass and bream","137"
"Hungary","Salmonids","123"
"Finland","Salmonids","109"
"Moldova","Salmonids","102"
"Faroe Islands","Salmonids","89"
"Cyprus","Salmonids","86"
"Croatia","Salmonids","67"
"Malta","Salmonids","63"
"Sweden","Carp","40"
"Slovenia","Salmonids","33"
"Algeria","Salmonids","29"
"North Macedonia","Salmonids","10"
"Germany","Bass and bream","9"
"Italy","Bass and bream","8"
"Norway","Carp","8"
"Bosnia and Herzegovina","Salmonids","7"
"Estonia","Bass and bream","3"
"Netherlands","Bass and bream","2"
"Finland","Carp","2"
"Portugal","Bass and bream","1"
"Hungary","Bass and bream","1"
"Italy","Carp","1"
"Finland","Bass and bream","1"
"Montenegro","Salmonids","1"
"Serbia","Salmonids","1"
"Albania","Salmonids","1"
"Greece","Bass and bream","1"
"Austria","Bass and bream","0"
"Switzerland","Bass and bream","0"
"Other","Bass and bream","0"
"Germany","Carp","0"
"Slovenia","Bass and bream","0"
"Cyprus","Bass and bream","0"
