"Partner Country","Species","Quantity (t)"
"Norway","Salmonids","141,932"
"Other","Salmonids","32,400"
"Sweden","Salmonids","11,624"
"Poland","Salmonids","8,303"
"Germany","Salmonids","6,437"
"Iceland","Salmonids","6,195"
"Netherlands","Salmonids","1,159"
"Latvia","Salmonids","1,128"
"France","Salmonids","583"
"Spain","Salmonids","582"
"Netherlands","Bass and bream","379"
"Lithuania","Salmonids","268"
"Estonia","Salmonids","79"
"Sweden","Bass and bream","52"
"Finland","Salmonids","49"
"Other","Carp","45"
"Belgium","Salmonids","38"
"Germany","Bass and bream","25"
"Ireland","Salmonids","23"
"United Kingdom","Salmonids","15"
"Spain","Bass and bream","12"
"Other","Bass and bream","10"
"France","Bass and bream","8"
"Netherlands","Carp","8"
"Italy","Salmonids","3"
"Slovenia","Bass and bream","2"
"Switzerland","Salmonids","2"
"Greece","Bass and bream","2"
"Romania","Salmonids","1"
"Slovakia","Salmonids","1"
"Italy","Bass and bream","1"
"France","Carp","1"
"Belgium","Bass and bream","0"
"Bulgaria","Salmonids","0"
"Italy","Carp","0"
"Czechia","Salmonids","0"
"Portugal","Salmonids","0"
"Romania","Bass and bream","0"
"Romania","Carp","0"
"Sweden","Carp","0"
"Malta","Salmonids","0"
"Serbia","Salmonids","0"
"Norway","Bass and bream","0"
"Norway","Carp","0"
