"Partner Country","Species","Quantity (t)"
"Belgium","Salmonids","341"
"Belarus","Salmonids","287"
"Latvia","Salmonids","251"
"Spain","Salmonids","130"
"Lithuania","Salmonids","130"
"Finland","Salmonids","114"
"Sweden","Salmonids","81"
"Other","Salmonids","68"
"Moldova","Salmonids","57"
"Denmark","Salmonids","34"
"Poland","Salmonids","30"
"Italy","Salmonids","10"
"Germany","Salmonids","7"
"Romania","Bass and bream","5"
"Switzerland","Salmonids","5"
"Cyprus","Salmonids","3"
"Czechia","Salmonids","2"
"Latvia","Bass and bream","1"
"Serbia","Salmonids","1"
"France","Salmonids","1"
"Norway","Salmonids","1"
"Poland","Bass and bream","0"
"Romania","Salmonids","0"
"Romania","Carp","0"
"Norway","Bass and bream","0"
"Lithuania","Bass and bream","0"
"Finland","Bass and bream","0"
