"Partner Country","Species","Quantity (t)"
"Sweden","Salmonids","2,452"
"Latvia","Salmonids","1,310"
"Finland","Salmonids","1,107"
"Lithuania","Salmonids","492"
"Norway","Salmonids","404"
"Poland","Salmonids","63"
"Denmark","Salmonids","62"
"Bulgaria","Salmonids","57"
"Lithuania","Bass and bream","37"
"Netherlands","Salmonids","25"
"United Kingdom","Salmonids","23"
"Latvia","Bass and bream","21"
"Netherlands","Bass and bream","20"
"Lithuania","Carp","11"
"Denmark","Bass and bream","8"
"Other","Salmonids","4"
"Germany","Salmonids","4"
"Latvia","Carp","4"
"Germany","Bass and bream","1"
"Slovenia","Salmonids","1"
"France","Bass and bream","0"
"Finland","Bass and bream","0"
"Spain","Salmonids","0"
"Poland","Carp","0"
"Greece","Salmonids","0"
"France","Carp","0"
"Iceland","Salmonids","0"
