"Product","Country","Category","Product size","Date","Price (EUR/kg)"
"Gilthead seabream","Belgium","Fresh","450 - 650 g",2026-02-28,17.75
"Gilthead seabream","France","Fresh","450 - 650 g",2026-02-28,14.8
"Gilthead seabream","Greece","Fresh","1 kg",2026-02-28,12.5
"Gilthead seabream","Italy","Fresh","300 - 650 G",2026-02-28,19.12
"Gilthead seabream","Portugal","Fresh","450 - 650 g",2026-02-28,10.49
"Gilthead seabream","Romania","Fresh","1 kg",2026-02-28,64.08
"Gilthead seabream","Spain","Fresh","450 - 650 g",2026-02-28,10.48
"Salmon fillets","Belgium","Fresh","100 - 300 g",2026-02-28,32.63
"Salmon fillets","Czechia","Fresh","1 kg",2026-02-28,637.74
"Salmon fillets","Denmark","Fresh","1 kg",2026-02-28,282.51
"Salmon fillets","Finland","Fresh","1 kg",2026-02-28,27.94
"Salmon fillets","France","Fresh","300 - 600 g",2026-02-28,24.63
"Salmon fillets","Germany","Fresh","1 kg",2026-02-28,18.9
"Salmon fillets","Greece","Fresh","1 kg",2026-02-28,23.9
"Salmon fillets","Hungary","Fresh","1 kg",2026-02-28,10801.82
"Salmon fillets","Ireland","Fresh","1 kg",2026-02-28,22.51
"Salmon fillets","Italy","Fresh","200 - 300 g",2026-02-28,29.39
"Salmon fillets","Netherlands","Fresh","300 - 600 g",2026-02-28,28.23
"Salmon fillets","Poland","Fresh","1 kg",2026-02-28,116.55
"Salmon fillets","Portugal","Fresh","200 - 500 g",2026-02-28,21.28
"Salmon fillets","Romania","Fresh","1 kg",2026-02-28,78.88
"Salmon fillets","Spain","Fresh","300 - 600 g",2026-02-28,26.43
"Salmon fillets","Sweden","Fresh","1 kg",2026-02-28,312.15
"Seabass","Belgium","Fresh","300 - 400 g",2026-02-28,18.62
"Seabass","France","Fresh","450 - 600 g",2026-02-28,12.54
"Seabass","Greece","Fresh","1 kg",2026-02-28,13.9
"Seabass","Italy","Fresh","300 - 400 g",2026-02-28,19.75
"Seabass","Portugal","Fresh","300 - 500 g",2026-02-28,12.44
"Seabass","Romania","Fresh","1 kg",2026-02-28,55.5
"Seabass","Spain","Fresh","400 - 750 g",2026-02-28,10.2
"Trout","Czechia","Fresh","1 kg",2026-02-28,370.95
"Trout","Finland","Fresh","1 kg",2026-02-28,21.79
"Trout","Poland","Fresh","1 kg",2026-02-28,40.05
"Trout","Romania","Fresh","1 kg",2026-02-28,45.66
