"Partner Country","Species","Quantity (t)"
"Netherlands","Salmonids","5,548"
"France","Salmonids","4,482"
"Poland","Salmonids","4,458"
"Lithuania","Salmonids","3,742"
"Spain","Salmonids","2,094"
"Germany","Salmonids","1,846"
"Italy","Salmonids","1,371"
"Estonia","Salmonids","953"
"Sweden","Salmonids","782"
"Denmark","Salmonids","580"
"Portugal","Salmonids","477"
"Latvia","Salmonids","380"
"Ireland","Salmonids","108"
"Romania","Salmonids","55"
"Greece","Salmonids","43"
"Austria","Salmonids","36"
"United Kingdom","Salmonids","33"
"Czechia","Salmonids","12"
"Other","Salmonids","9"
"Switzerland","Salmonids","7"
"Bulgaria","Salmonids","5"
"Belgium","Salmonids","0"
"Hungary","Salmonids","0"
"Norway","Salmonids","0"
