"Partner Country","Species","Quantity (t)"
"Norway","Salmonids","36,303"
"Sweden","Salmonids","5,719"
"Netherlands","Salmonids","597"
"Denmark","Salmonids","214"
"Poland","Salmonids","163"
"Estonia","Salmonids","143"
"Germany","Salmonids","142"
"Lithuania","Salmonids","75"
"Latvia","Salmonids","67"
"Iceland","Salmonids","39"
"Netherlands","Bass and bream","36"
"Other","Salmonids","19"
"Sweden","Bass and bream","9"
"Netherlands","Carp","6"
"France","Salmonids","6"
"Belgium","Salmonids","0"
"Austria","Salmonids","0"
"Czechia","Salmonids","0"
"Faroe Islands","Salmonids","0"
