"Partner Country","Species","Quantity (t)"
"Poland","Salmonids","7,611"
"Netherlands","Salmonids","5,354"
"Germany","Salmonids","3,541"
"Italy","Salmonids","3,182"
"Denmark","Salmonids","3,056"
"Belgium","Salmonids","2,943"
"Other","Salmonids","1,667"
"Spain","Salmonids","1,562"
"Switzerland","Salmonids","1,298"
"Ireland","Salmonids","827"
"Belgium","Bass and bream","537"
"Germany","Bass and bream","535"
"Italy","Bass and bream","485"
"Spain","Bass and bream","340"
"Switzerland","Bass and bream","295"
"United Kingdom","Salmonids","287"
"Portugal","Salmonids","269"
"Other","Bass and bream","247"
"Estonia","Salmonids","220"
"Lithuania","Salmonids","183"
"United Kingdom","Bass and bream","177"
"Romania","Salmonids","151"
"Greece","Salmonids","134"
"Latvia","Salmonids","130"
"Algeria","Salmonids","110"
"Ireland","Bass and bream","96"
"Sweden","Salmonids","83"
"Portugal","Bass and bream","57"
"Netherlands","Bass and bream","55"
"Czechia","Salmonids","34"
"Moldova","Salmonids","29"
"Switzerland","Carp","29"
"Austria","Salmonids","19"
"Poland","Bass and bream","19"
"Morocco","Salmonids","17"
"United Kingdom","Carp","14"
"Bulgaria","Salmonids","11"
"Cyprus","Salmonids","11"
"Croatia","Salmonids","11"
"Denmark","Bass and bream","10"
"Austria","Bass and bream","9"
"Belgium","Carp","8"
"Spain","Carp","7"
"Slovenia","Salmonids","5"
"Czechia","Bass and bream","5"
"Hungary","Salmonids","5"
"Netherlands","Carp","4"
"Ireland","Carp","3"
"Latvia","Bass and bream","3"
"Malta","Salmonids","3"
"Germany","Carp","2"
"Andorra","Salmonids","2"
"Serbia","Salmonids","2"
"Greece","Bass and bream","2"
"Other","Carp","2"
"Romania","Bass and bream","1"
"Tunisia","Salmonids","1"
"Slovakia","Salmonids","1"
"Croatia","Bass and bream","1"
"Türkiye","Salmonids","1"
"Finland","Salmonids","1"
"Denmark","Carp","0"
"Montenegro","Salmonids","0"
"Finland","Bass and bream","0"
"Slovenia","Bass and bream","0"
"Albania","Salmonids","0"
"Malta","Bass and bream","0"
"Hungary","Bass and bream","0"
"Iceland","Salmonids","0"
"Italy","Carp","0"
"Cyprus","Bass and bream","0"
