"Partner Country","Species","Quantity (t)"
"Sweden","Salmonids","72,141"
"United Kingdom","Salmonids","62,878"
"Netherlands","Salmonids","12,015"
"Other","Salmonids","11,181"
"Denmark","Salmonids","10,222"
"Greece","Bass and bream","9,938"
"Poland","Salmonids","7,562"
"Ireland","Salmonids","3,961"
"Netherlands","Bass and bream","3,900"
"Belgium","Salmonids","2,829"
"Germany","Salmonids","2,559"
"Spain","Bass and bream","2,398"
"Italy","Bass and bream","2,355"
"Sweden","Bass and bream","2,051"
"Lithuania","Salmonids","1,557"
"Spain","Salmonids","1,101"
"Denmark","Bass and bream","773"
"Austria","Bass and bream","773"
"Croatia","Bass and bream","526"
"Czechia","Carp","394"
"Other","Bass and bream","380"
"Finland","Salmonids","344"
"United Kingdom","Bass and bream","216"
"Türkiye","Bass and bream","126"
"Tunisia","Bass and bream","124"
"Latvia","Salmonids","79"
"Italy","Salmonids","76"
"Greece","Salmonids","71"
"Ireland","Bass and bream","67"
"Germany","Bass and bream","63"
"Estonia","Salmonids","48"
"Belgium","Bass and bream","43"
"Portugal","Bass and bream","27"
"Norway","Salmonids","21"
"Poland","Bass and bream","19"
"Spain","Carp","14"
"Netherlands","Carp","12"
"Portugal","Salmonids","12"
"Germany","Carp","11"
"Czechia","Salmonids","9"
"Croatia","Carp","6"
"Algeria","Bass and bream","6"
"Morocco","Bass and bream","5"
"Switzerland","Salmonids","4"
"Italy","Carp","3"
"Other","Carp","2"
"Estonia","Bass and bream","1"
"Poland","Carp","1"
"Iceland","Salmonids","1"
"Denmark","Carp","0"
"Romania","Bass and bream","0"
"Austria","Salmonids","0"
"Slovenia","Salmonids","0"
"Ireland","Carp","0"
"Switzerland","Bass and bream","0"
"Tunisia","Salmonids","0"
"Belgium","Carp","0"
"Morocco","Salmonids","0"
