"Partner Country","Species","Quantity (t)"
"Poland","Salmonids","6,100"
"Austria","Salmonids","5,892"
"Other","Salmonids","4,621"
"Italy","Salmonids","4,452"
"France","Salmonids","3,840"
"Denmark","Salmonids","3,596"
"Netherlands","Salmonids","2,227"
"Czechia","Salmonids","1,305"
"Switzerland","Salmonids","1,206"
"Sweden","Salmonids","896"
"Belgium","Salmonids","881"
"Spain","Salmonids","668"
"Lithuania","Salmonids","592"
"Slovakia","Salmonids","581"
"Portugal","Salmonids","531"
"Greece","Salmonids","410"
"Switzerland","Bass and bream","345"
"Romania","Salmonids","343"
"Slovenia","Salmonids","264"
"Estonia","Salmonids","236"
"Austria","Bass and bream","229"
"Hungary","Salmonids","208"
"United Kingdom","Salmonids","144"
"Finland","Salmonids","137"
"Croatia","Salmonids","76"
"Netherlands","Bass and bream","72"
"Denmark","Bass and bream","60"
"Norway","Salmonids","53"
"Cyprus","Salmonids","46"
"Bulgaria","Salmonids","41"
"Czechia","Bass and bream","40"
"Poland","Bass and bream","36"
"Latvia","Salmonids","34"
"France","Bass and bream","34"
"Türkiye","Bass and bream","33"
"Ireland","Salmonids","29"
"Hungary","Bass and bream","28"
"Malta","Salmonids","19"
"Türkiye","Salmonids","15"
"Belgium","Bass and bream","13"
"France","Carp","10"
"Belgium","Carp","10"
"Slovakia","Bass and bream","9"
"Italy","Bass and bream","9"
"Austria","Carp","9"
"Ireland","Bass and bream","6"
"Netherlands","Carp","6"
"Morocco","Salmonids","5"
"Poland","Carp","5"
"Switzerland","Carp","4"
"Estonia","Bass and bream","3"
"Latvia","Bass and bream","2"
"Lithuania","Bass and bream","2"
"Denmark","Carp","2"
"Montenegro","Salmonids","1"
"Serbia","Salmonids","1"
"Serbia","Bass and bream","1"
"Other","Bass and bream","1"
"Ireland","Carp","1"
"Spain","Bass and bream","1"
"Moldova","Bass and bream","1"
"Norway","Carp","0"
"Italy","Carp","0"
"Slovenia","Bass and bream","0"
"Sweden","Bass and bream","0"
"Bosnia and Herzegovina","Salmonids","0"
"Egypt","Salmonids","0"
"Iceland","Salmonids","0"
"Other","Carp","0"
"Portugal","Carp","0"
"Czechia","Carp","0"
"Spain","Carp","0"
"Cyprus","Carp","0"
"Norway","Bass and bream","0"
"Finland","Bass and bream","0"
"Andorra","Salmonids","0"
