"Partner Country","Species","Quantity (t)"
"Poland","Salmonids","66,576"
"Sweden","Salmonids","27,379"
"Denmark","Salmonids","24,236"
"Netherlands","Salmonids","15,892"
"Other","Salmonids","14,914"
"Norway","Salmonids","6,322"
"Lithuania","Salmonids","5,271"
"France","Salmonids","3,424"
"Greece","Bass and bream","3,103"
"Czechia","Carp","2,697"
"Netherlands","Bass and bream","1,981"
"Italy","Bass and bream","1,973"
"Faroe Islands","Salmonids","1,280"
"Iceland","Salmonids","1,204"
"Croatia","Bass and bream","841"
"Türkiye","Bass and bream","691"
"Ireland","Salmonids","689"
"Belgium","Salmonids","654"
"France","Bass and bream","580"
"Slovenia","Bass and bream","557"
"Austria","Bass and bream","436"
"Latvia","Salmonids","394"
"Spain","Bass and bream","320"
"Hungary","Carp","319"
"Austria","Salmonids","279"
"Italy","Salmonids","228"
"Other","Carp","182"
"Spain","Salmonids","139"
"Cyprus","Salmonids","86"
"Portugal","Salmonids","81"
"Türkiye","Carp","75"
"Netherlands","Carp","71"
"Estonia","Salmonids","65"
"Czechia","Salmonids","63"
"Other","Bass and bream","50"
"Italy","Carp","39"
"Finland","Salmonids","24"
"Denmark","Bass and bream","23"
"Belgium","Carp","22"
"Bulgaria","Salmonids","21"
"Poland","Carp","17"
"Switzerland","Salmonids","10"
"Romania","Carp","7"
"France","Carp","5"
"Tunisia","Bass and bream","5"
"Greece","Salmonids","5"
"Poland","Bass and bream","4"
"Romania","Bass and bream","3"
"Portugal","Bass and bream","2"
"Belgium","Bass and bream","2"
"Bulgaria","Carp","1"
"Denmark","Carp","1"
"Croatia","Salmonids","1"
"Slovakia","Salmonids","1"
"Croatia","Carp","1"
"Slovenia","Salmonids","0"
"Austria","Carp","0"
"Türkiye","Salmonids","0"
"Spain","Carp","0"
"Malta","Salmonids","0"
"Hungary","Salmonids","0"
"Lithuania","Bass and bream","0"
"Czechia","Bass and bream","0"
