"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout","1300","2.083","0.343",7938,"6,106,154","17,802,198","12,721,154"
"European eel","400","1","0.3",1158,"2,895,000","9,650,000","2,895,000"
"Common carp","1500","3","0.68",4131,"2,754,000","4,050,000","8,262,000"
"Whiteleg shrimp","17","0.411","0.17",31,"1,823,529","10,726,644","748,883"
"Sea trout","1300","2.083","0.343",620,"476,923","1,390,446","993,590"
"North African catfish","1500","1","0.3",493,"328,667","1,095,556","328,667"
"Sturgeons nei","6000","1","0.3",131,"21,833","72,778","21,833"
"Chars nei","","","",2128,"","",""
"Freshwater fishes nei","","","",470,"","",""
"Brook trout","","","",395,"","",""
"Wels(=Som) catfish","","","",136,"","",""
"Pike-perch","","","",100,"","",""
"Tench","","","",89,"","",""
"Northern pike","","","",43,"","",""
"Tilapias nei","","","",1,"","",""
