"Partner Country","Species","Quantity (t)"
"Italy","Bass and bream","37,936"
"Spain","Bass and bream","34,817"
"France","Bass and bream","12,451"
"Other","Bass and bream","10,659"
"Germany","Bass and bream","3,966"
"Romania","Bass and bream","3,923"
"Bulgaria","Bass and bream","3,590"
"Netherlands","Bass and bream","3,306"
"Netherlands","Salmonids","2,675"
"Portugal","Bass and bream","2,670"
"Poland","Bass and bream","2,117"
"Cyprus","Salmonids","1,008"
"United Kingdom","Bass and bream","930"
"Croatia","Bass and bream","827"
"Cyprus","Bass and bream","629"
"Morocco","Bass and bream","614"
"Albania","Bass and bream","564"
"Belgium","Bass and bream","545"
"North Macedonia","Bass and bream","312"
"Serbia","Bass and bream","278"
"Czechia","Bass and bream","239"
"Italy","Salmonids","236"
"Denmark","Bass and bream","175"
"Other","Salmonids","112"
"Ireland","Bass and bream","99"
"Albania","Salmonids","82"
"Romania","Carp","61"
"Austria","Bass and bream","56"
"Slovenia","Bass and bream","41"
"Spain","Salmonids","40"
"Switzerland","Bass and bream","36"
"Latvia","Bass and bream","34"
"France","Salmonids","33"
"Austria","Salmonids","32"
"Romania","Salmonids","29"
"Malta","Bass and bream","25"
"North Macedonia","Salmonids","24"
"Croatia","Salmonids","18"
"Bulgaria","Salmonids","12"
"Germany","Salmonids","3"
"Malta","Salmonids","2"
"Portugal","Salmonids","2"
"Lithuania","Bass and bream","2"
"Belgium","Salmonids","1"
"Sweden","Bass and bream","1"
"Denmark","Salmonids","0"
"Sweden","Salmonids","0"
"Hungary","Bass and bream","0"
"United Kingdom","Salmonids","0"
"Slovenia","Salmonids","0"
"Lithuania","Salmonids","0"
"Czechia","Salmonids","0"
"Norway","Salmonids","0"
"Albania","Carp","0"
"Slovakia","Salmonids","0"
