"Partner Country","Species","Quantity (t)"
"Türkiye","Bass and bream","18,888"
"Netherlands","Salmonids","4,586"
"Czechia","Salmonids","2,666"
"Sweden","Salmonids","1,391"
"Other","Salmonids","682"
"Denmark","Salmonids","633"
"Germany","Salmonids","629"
"Spain","Salmonids","584"
"Italy","Salmonids","535"
"Italy","Bass and bream","132"
"France","Salmonids","117"
"Netherlands","Bass and bream","114"
"Lithuania","Salmonids","97"
"Cyprus","Salmonids","92"
"Spain","Bass and bream","83"
"Other","Carp","80"
"Bulgaria","Bass and bream","80"
"Poland","Salmonids","74"
"Bulgaria","Salmonids","74"
"Other","Bass and bream","57"
"Tunisia","Bass and bream","46"
"France","Bass and bream","46"
"Cyprus","Bass and bream","31"
"Belgium","Salmonids","28"
"Morocco","Bass and bream","26"
"Norway","Salmonids","21"
"Croatia","Bass and bream","15"
"United Kingdom","Salmonids","12"
"Latvia","Salmonids","10"
"Ireland","Salmonids","8"
"Egypt","Bass and bream","5"
"Romania","Bass and bream","4"
"Türkiye","Salmonids","3"
"Estonia","Salmonids","1"
"Türkiye","Carp","1"
"Germany","Bass and bream","0"
"Portugal","Bass and bream","0"
"Ireland","Bass and bream","0"
