"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Gilthead seabream","350","1.667","0.2",70138,"200,395,326","1,001,976,629","333,992,210"
"European seabass","450","1.583","0.26",47070,"104,600,247","402,308,641","165,617,057"
"Meagre","1500","0.917","0.2",5697,"3,798,010","18,990,050","3,481,509"
"Giant tiger prawn","37","0.493","0.3",35,"945,946","3,153,153","466,175"
"Gilthead seabream","350","1.667","0.2",176,"504,200","2,521,000","840,333"
"Rainbow trout","4000","1.125","0.19",1900,"475,000","2,500,000","534,375"
"Flathead grey mullet","1000","1","0.26",270,"269,600","1,036,923","269,600"
"European seabass","450","1.583","0.26",75,"167,158","642,915","264,666"
"Kuruma prawn","21","0.411","0.29",1,"62,381","215,107","25,618"
"Sturgeons nei","600","0.542","0.27",12,"20,000","74,074","10,833"
"Common carp","1000","0.375","0.5",8,"7,510","15,020","2,816"
"Red porgy","","","",4793,"","",""
"European eel","","","",350,"","",""
"Marine fishes nei","","","",180,"","",""
"Greater amberjack","","","",170,"","",""
"Mediterranean shore crab","","","",119,"","",""
"Freshwater fishes nei","","","",80,"","",""
"Shi drum","","","",80,"","",""
"Marine fishes nei","","","",20,"","",""
"European eel","","","",19,"","",""
"White seabream","","","",7,"","",""
"Common sole","","","",1,"","",""
