"Partner Country","Species","Quantity (t)"
"Romania","Carp","1,797"
"United Kingdom","Carp","346"
"Serbia","Carp","287"
"Croatia","Carp","109"
"Germany","Carp","96"
"Romania","Salmonids","68"
"Austria","Salmonids","47"
"Slovakia","Salmonids","44"
"Slovakia","Carp","43"
"Croatia","Salmonids","40"
"Austria","Carp","17"
"Bulgaria","Salmonids","15"
"Belgium","Carp","11"
"Slovenia","Salmonids","9"
"Netherlands","Carp","7"
"Bulgaria","Carp","5"
"Austria","Bass and bream","4"
"Netherlands","Salmonids","4"
"Slovakia","Bass and bream","2"
"Serbia","Salmonids","2"
"United Kingdom","Salmonids","0"
"Romania","Bass and bream","0"
"Other","Carp","0"
"Switzerland","Carp","0"
"Germany","Salmonids","0"
"Bosnia and Herzegovina","Salmonids","0"
"Ireland","Salmonids","0"
"Switzerland","Salmonids","0"
"Sweden","Carp","0"
"Italy","Salmonids","0"
"Malta","Salmonids","0"
