"Partner Country","Species","Quantity (t)"
"Czechia","Salmonids","867"
"Denmark","Salmonids","234"
"Sweden","Salmonids","233"
"Germany","Salmonids","218"
"Poland","Salmonids","144"
"Netherlands","Salmonids","130"
"Lithuania","Salmonids","84"
"Italy","Salmonids","82"
"Romania","Salmonids","70"
"Other","Carp","68"
"Latvia","Salmonids","60"
"Slovenia","Bass and bream","53"
"Other","Salmonids","49"
"Slovakia","Carp","47"
"Spain","Salmonids","39"
"Austria","Salmonids","30"
"Denmark","Carp","27"
"Croatia","Salmonids","21"
"France","Salmonids","21"
"Czechia","Bass and bream","19"
"Slovakia","Salmonids","18"
"Netherlands","Bass and bream","16"
"Croatia","Bass and bream","9"
"Romania","Bass and bream","7"
"Italy","Bass and bream","5"
"Other","Bass and bream","3"
"Denmark","Bass and bream","2"
"Belgium","Salmonids","1"
"Germany","Bass and bream","0"
"Norway","Salmonids","0"
"France","Bass and bream","0"
"Slovenia","Salmonids","0"
"Slovakia","Bass and bream","0"
