"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Common carp","1500","3","0.68",11057,"7,371,635","10,840,640","22,114,906"
"Rainbow trout","1300","2.083","0.343",49,"37,712","109,946","78,566"
"Sturgeons nei","6000","1","0.3",124,"20,661","68,871","20,661"
"Hetero-Clarias catfish, hybrid","","","",4558,"","",""
"Freshwater fishes nei","","","",1672,"","",""
"Silver, bighead carps nei","","","",842,"","",""
"Grass carp(=White amur)","","","",402,"","",""
"Wels(=Som) catfish","","","",198,"","",""
"Pike-perch","","","",23,"","",""
"Northern pike","","","",18,"","",""
"Tench","","","",5,"","",""
