"Partner Country","Species","Quantity (t)"
"Netherlands","Salmonids","10,647"
"Other","Salmonids","8,477"
"Denmark","Salmonids","6,386"
"France","Salmonids","6,233"
"Poland","Salmonids","3,277"
"United Kingdom","Salmonids","1,509"
"Germany","Salmonids","1,388"
"Spain","Salmonids","1,357"
"Italy","Salmonids","613"
"Ireland","Salmonids","198"
"Sweden","Salmonids","121"
"Czechia","Salmonids","115"
"Belgium","Salmonids","115"
"Lithuania","Salmonids","60"
"Finland","Salmonids","47"
"Portugal","Salmonids","43"
"Faroe Islands","Salmonids","41"
"Estonia","Salmonids","22"
"Türkiye","Salmonids","18"
"Switzerland","Salmonids","11"
"Latvia","Salmonids","3"
"Norway","Salmonids","0"
"Austria","Salmonids","0"
