"Partner Country","Species","Quantity (t)"
"Belgium","Salmonids","3,908"
"Sweden","Salmonids","3,674"
"United Kingdom","Salmonids","3,420"
"Norway","Salmonids","2,992"
"Netherlands","Salmonids","1,700"
"Netherlands","Bass and bream","770"
"Other","Salmonids","528"
"France","Salmonids","486"
"Germany","Salmonids","431"
"Faroe Islands","Salmonids","280"
"Italy","Bass and bream","272"
"Iceland","Salmonids","207"
"Other","Carp","159"
"Denmark","Salmonids","156"
"Hungary","Salmonids","118"
"Spain","Bass and bream","115"
"Greece","Bass and bream","114"
"France","Bass and bream","40"
"Italy","Salmonids","30"
"Spain","Salmonids","29"
"Poland","Salmonids","29"
"United Kingdom","Bass and bream","16"
"Latvia","Carp","11"
"Netherlands","Carp","6"
"France","Carp","4"
"Denmark","Bass and bream","4"
"Poland","Carp","2"
"Spain","Carp","1"
"Slovakia","Salmonids","1"
"Slovakia","Bass and bream","0"
"Lithuania","Salmonids","0"
"Romania","Salmonids","0"
"Poland","Bass and bream","0"
"Germany","Bass and bream","0"
"Slovenia","Salmonids","0"
"Slovenia","Bass and bream","0"
"Greece","Salmonids","0"
"Switzerland","Salmonids","0"
"Slovakia","Carp","0"
"Tunisia","Salmonids","0"
"Türkiye","Salmonids","0"
