"Partner Country","Species","Quantity (t)"
"Portugal","Bass and bream","3,992"
"France","Bass and bream","3,125"
"Germany","Bass and bream","2,133"
"Spain","Bass and bream","1,751"
"Tunisia","Bass and bream","1,236"
"Switzerland","Bass and bream","738"
"Malta","Salmonids","589"
"Malta","Bass and bream","575"
"Croatia","Bass and bream","543"
"Croatia","Salmonids","409"
"Greece","Salmonids","405"
"Austria","Bass and bream","310"
"Tunisia","Salmonids","276"
"Netherlands","Bass and bream","275"
"Poland","Bass and bream","263"
"Albania","Bass and bream","257"
"Ireland","Bass and bream","240"
"Other","Bass and bream","214"
"Slovenia","Salmonids","181"
"Austria","Salmonids","167"
"Germany","Salmonids","158"
"Romania","Carp","152"
"Romania","Bass and bream","151"
"Belgium","Bass and bream","147"
"Other","Salmonids","132"
"Switzerland","Salmonids","130"
"Slovenia","Bass and bream","128"
"Hungary","Salmonids","121"
"France","Salmonids","111"
"Spain","Salmonids","97"
"Czechia","Bass and bream","93"
"Albania","Salmonids","76"
"Serbia","Salmonids","76"
"Romania","Salmonids","76"
"Hungary","Bass and bream","71"
"Czechia","Salmonids","61"
"Germany","Carp","54"
"Portugal","Carp","54"
"Greece","Bass and bream","45"
"France","Carp","28"
"Netherlands","Salmonids","24"
"Slovakia","Bass and bream","24"
"Norway","Salmonids","19"
"Slovakia","Salmonids","19"
"Sweden","Bass and bream","18"
"Austria","Carp","16"
"Malta","Carp","16"
"Cyprus","Salmonids","15"
"Spain","Carp","12"
"Cyprus","Carp","10"
"Denmark","Salmonids","9"
"Poland","Carp","8"
"Portugal","Salmonids","8"
"Greece","Carp","7"
"Poland","Salmonids","6"
"Netherlands","Carp","6"
"Montenegro","Salmonids","6"
"Sweden","Carp","5"
"Belgium","Salmonids","4"
"Bosnia and Herzegovina","Salmonids","4"
"Bulgaria","Salmonids","4"
"Finland","Carp","3"
"Lithuania","Salmonids","3"
"Denmark","Bass and bream","2"
"Denmark","Carp","2"
"Switzerland","Carp","1"
"United Kingdom","Salmonids","1"
"Bulgaria","Bass and bream","1"
"Croatia","Carp","1"
"Latvia","Salmonids","1"
"North Macedonia","Salmonids","1"
"Moldova","Salmonids","0"
"Cyprus","Bass and bream","0"
"Finland","Salmonids","0"
"Ireland","Salmonids","0"
"Hungary","Carp","0"
"Sweden","Salmonids","0"
"Estonia","Carp","0"
"Egypt","Salmonids","0"
"Estonia","Salmonids","0"
"Slovenia","Carp","0"
"Belgium","Carp","0"
"Finland","Bass and bream","0"
