"Partner Country","Species","Quantity (t)"
"Sweden","Salmonids","54,978"
"Greece","Bass and bream","38,348"
"Türkiye","Bass and bream","18,789"
"Denmark","Salmonids","15,397"
"Poland","Salmonids","12,157"
"Croatia","Bass and bream","7,973"
"Netherlands","Salmonids","6,595"
"Lithuania","Salmonids","4,993"
"France","Salmonids","3,149"
"Albania","Bass and bream","3,138"
"Germany","Salmonids","3,056"
"Netherlands","Bass and bream","2,262"
"Spain","Bass and bream","2,189"
"Spain","Salmonids","1,907"
"Malta","Bass and bream","1,865"
"Other","Carp","1,812"
"Other","Salmonids","1,455"
"Other","Bass and bream","744"
"France","Bass and bream","585"
"Finland","Salmonids","542"
"Portugal","Salmonids","525"
"Greece","Salmonids","516"
"Croatia","Salmonids","484"
"Belgium","Salmonids","434"
"Slovenia","Bass and bream","267"
"Portugal","Bass and bream","202"
"Ireland","Salmonids","146"
"Bulgaria","Bass and bream","93"
"Croatia","Carp","75"
"Sweden","Bass and bream","69"
"Latvia","Salmonids","39"
"Denmark","Bass and bream","36"
"Austria","Salmonids","35"
"Romania","Salmonids","27"
"Ireland","Bass and bream","26"
"Estonia","Salmonids","23"
"Germany","Bass and bream","22"
"Hungary","Carp","13"
"Albania","Salmonids","10"
"Austria","Bass and bream","9"
"Czechia","Carp","7"
"Spain","Carp","5"
"Denmark","Carp","5"
"Serbia","Salmonids","3"
"Slovenia","Salmonids","2"
"Hungary","Salmonids","2"
"Lithuania","Bass and bream","2"
"Norway","Salmonids","1"
"France","Carp","1"
"Bulgaria","Salmonids","1"
"United Kingdom","Salmonids","1"
"Latvia","Carp","1"
"Czechia","Salmonids","1"
"Netherlands","Carp","0"
"Estonia","Bass and bream","0"
"Belgium","Bass and bream","0"
"Romania","Carp","0"
"Switzerland","Salmonids","0"
"Portugal","Carp","0"
"Iceland","Salmonids","0"
