"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout","1300","2.083","0.00343",29800,"22,923,077","6,683,112,806","47,756,410"
"Gilthead seabream","350","2.083","0.0026",7500,"21,428,571","8,241,758,242","44,642,857"
"European seabass","400","2.083","0.00214",5100,"12,750,000","5,957,943,925","26,562,500"
"Gilthead seabream","350","2.083","0.0026",450,"1,285,714","494,505,495","2,678,571"
"European seabass","400","2.083","0.00214",125,"313,500","146,495,327","653,125"
"Trouts nei","1300","2.083","0.00343",383,"294,462","85,848,845","613,462"
"Kuruma prawn","21","0.411","0.29",5,"238,095","821,018","97,780"
"Sturgeons nei","6000","1","0.003",970,"161,667","53,888,889","161,667"
"Common carp","1500","3","0.0068",199,"132,467","19,480,392","397,400"
"Sea trout","1300","2.083","0.00343",169,"130,231","37,968,154","271,314"
"Meagre","2500","1","0.003",123,"49,200","16,400,000","49,200"
"Turbot","1300","1","0.003",30,"23,077","7,692,308","23,077"
"Cyprinids nei","1500","3","0.0068",23,"15,400","2,264,706","46,200"
"Crucian carp","1500","3","0.0068",3,"2,067","303,922","6,200"
"Brook trout","","","",882,"","",""
"European eel","","","",407,"","",""
"Mullets nei","","","",376,"","",""
"","","","",153,"","",""
"Striped bass, hybrid","","","",117,"","",""
"Arctic char","","","",96,"","",""
"Channel catfish","","","",86,"","",""
"Largemouth black bass","","","",67,"","",""
"Black bullhead","","","",50,"","",""
"European eel","","","",36,"","",""
"Chars nei","","","",34,"","",""
"Tench","","","",24,"","",""
"Whitefishes nei","","","",24,"","",""
"Common prawn","","","",19,"","",""
"Grayling","","","",14,"","",""
"European whitefish","","","",12,"","",""
"White seabream","","","",10,"","",""
"Porgies, seabreams nei","","","",9,"","",""
"Common sole","","","",8,"","",""
"European perch","","","",1,"","",""
"Sharpsnout seabream","","","",0,"","",""
