"Partner Country","Species","Quantity (t)"
"Lithuania","Salmonids","4,134"
"Sweden","Salmonids","4,085"
"Denmark","Salmonids","2,999"
"Norway","Salmonids","784"
"Estonia","Salmonids","684"
"Other","Salmonids","527"
"Netherlands","Salmonids","305"
"Finland","Salmonids","267"
"Poland","Salmonids","161"
"France","Salmonids","119"
"Lithuania","Bass and bream","83"
"Lithuania","Carp","75"
"Germany","Salmonids","53"
"Greece","Bass and bream","30"
"Netherlands","Bass and bream","28"
"United Kingdom","Salmonids","21"
"Romania","Salmonids","19"
"Czechia","Salmonids","13"
"Croatia","Salmonids","8"
"Belarus","Salmonids","6"
"France","Bass and bream","2"
"Italy","Salmonids","1"
"Spain","Salmonids","1"
"Germany","Bass and bream","1"
"Netherlands","Carp","1"
"Estonia","Bass and bream","0"
"Bulgaria","Salmonids","0"
"Iceland","Salmonids","0"
