"Partner Country","Species","Quantity (t)"
"Germany","Salmonids","5,639"
"Italy","Salmonids","5,013"
"Latvia","Salmonids","1,926"
"Belgium","Salmonids","1,919"
"Other","Salmonids","1,862"
"France","Salmonids","1,621"
"Belarus","Salmonids","1,072"
"Estonia","Salmonids","730"
"Spain","Salmonids","538"
"Denmark","Salmonids","384"
"Poland","Salmonids","374"
"Latvia","Carp","286"
"Moldova","Salmonids","203"
"Austria","Salmonids","196"
"Netherlands","Salmonids","147"
"Portugal","Salmonids","100"
"Greece","Salmonids","87"
"Slovenia","Salmonids","83"
"Latvia","Bass and bream","79"
"Czechia","Salmonids","75"
"Hungary","Salmonids","73"
"Switzerland","Salmonids","71"
"Bulgaria","Salmonids","59"
"Sweden","Salmonids","58"
"Bosnia and Herzegovina","Salmonids","44"
"Estonia","Bass and bream","39"
"Slovakia","Salmonids","29"
"Romania","Salmonids","25"
"United Kingdom","Salmonids","21"
"Croatia","Salmonids","17"
"Estonia","Carp","10"
"Malta","Salmonids","9"
"North Macedonia","Salmonids","5"
"United Kingdom","Carp","4"
"Montenegro","Salmonids","3"
"Finland","Salmonids","3"
"Ireland","Salmonids","2"
"Poland","Bass and bream","2"
"Other","Bass and bream","2"
"Ireland","Carp","2"
"Sweden","Carp","1"
"Netherlands","Bass and bream","0"
"Norway","Carp","0"
"Czechia","Bass and bream","0"
"Iceland","Salmonids","0"
