"Partner Country","Species","Quantity (t)"
"Sweden","Salmonids","29,032"
"Other","Salmonids","5,205"
"Denmark","Salmonids","2,197"
"Norway","Salmonids","1,798"
"Latvia","Salmonids","1,463"
"Finland","Salmonids","1,362"
"Poland","Salmonids","966"
"Estonia","Salmonids","357"
"France","Salmonids","330"
"Türkiye","Bass and bream","311"
"Faroe Islands","Salmonids","259"
"Germany","Salmonids","217"
"Netherlands","Salmonids","173"
"Czechia","Salmonids","83"
"Poland","Carp","69"
"Latvia","Carp","60"
"Sweden","Bass and bream","35"
"Poland","Bass and bream","35"
"Czechia","Carp","27"
"Netherlands","Bass and bream","17"
"Spain","Salmonids","15"
"Bulgaria","Bass and bream","14"
"Latvia","Bass and bream","14"
"Estonia","Bass and bream","11"
"Germany","Bass and bream","11"
"Switzerland","Salmonids","3"
"Austria","Salmonids","3"
"Bulgaria","Salmonids","3"
"United Kingdom","Salmonids","1"
"Italy","Salmonids","1"
"Belgium","Salmonids","0"
"Netherlands","Carp","0"
