"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Common carp","1500","3","0.68",2497,"1,664,834","2,448,285","4,994,502"
"Rainbow trout","1300","2.083","0.343",400,"307,868","897,576","641,393"
"Bighead carp","1500","3","0.68",156,"103,975","152,904","311,924"
"Sea trout","1300","2.083","0.343",0,"0","0","0"
"African sharptooth catfish","","","",808,"","",""
"Sturgeons NEI","","","",160,"","",""
"Freshwater fishes NEI","","","",158,"","",""
"","","","",113,"","",""
"Northern pike","","","",59,"","",""
"Grass carp(=White amur)","","","",52,"","",""
"Tench","","","",29,"","",""
"Wels(=Som) catfish","","","",7,"","",""
"Pike-perch","","","",1,"","",""
"Peled","","","",0,"","",""
"Trouts NEI","","","",0,"","",""
