"Partner Country","Species","Quantity (t)"
"Netherlands","Salmonids","314"
"Italy","Salmonids","277"
"Italy","Bass and bream","166"
"Poland","Salmonids","34"
"Sweden","Salmonids","32"
"Denmark","Salmonids","20"
"Germany","Salmonids","10"
"Belgium","Salmonids","10"
"Latvia","Salmonids","6"
"Other","Salmonids","3"
"United Kingdom","Salmonids","3"
"Other","Bass and bream","3"
"Ireland","Salmonids","2"
"Spain","Salmonids","1"
"Portugal","Salmonids","0"
"Netherlands","Bass and bream","0"
"France","Salmonids","0"
"Norway","Salmonids","0"
