"Partner Country","Species","Quantity (t)"
"Other","Carp","1,537"
"Norway","Salmonids","748"
"Greece","Bass and bream","337"
"Romania","Salmonids","250"
"Other","Salmonids","223"
"Faroe Islands","Salmonids","162"
"United Kingdom","Salmonids","44"
"Denmark","Salmonids","41"
"Latvia","Salmonids","23"
"Türkiye","Bass and bream","18"
"Iceland","Salmonids","17"
"Spain","Salmonids","13"
"Croatia","Bass and bream","10"
"Lithuania","Salmonids","2"
"Czechia","Salmonids","1"
"Poland","Salmonids","1"
"Romania","Carp","1"
"Türkiye","Carp","1"
"Belarus","Salmonids","1"
"Italy","Carp","0"
"Spain","Bass and bream","0"
"France","Bass and bream","0"
"Morocco","Bass and bream","0"
"Italy","Bass and bream","0"
"Italy","Salmonids","0"
"Egypt","Bass and bream","0"
"France","Carp","0"
