"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Crucian carp","375","0.5","0.05",2170,"5,786,667","115,733,333","2,893,333"
"Silver carp","1000","0.917","0.25",5000,"5,000,000","20,000,000","4,583,333"
"Common carp","1000","0.375","0.5",4440,"4,440,000","8,880,000","1,665,000"
"Bighead carp","1125","1.167","0.25",1000,"888,889","3,555,556","1,037,037"
"Sturgeons nei","600","0.542","0.27",60,"100,000","370,370","54,167"
"Grass carp(=White amur)","4500","2","0.25",140,"31,111","124,444","62,222"
"Cyprinids nei","1750","0.583","0.26",20,"11,429","43,956","6,667"
"Freshwater fishes nei","","","",50,"","",""
"Pike-perch","","","",20,"","",""
"Danube crayfish","","","",5,"","",""
"Wels(=Som) catfish","","","",5,"","",""
