"Partner Country","Species","Quantity (t)"
"Albania","Bass and bream","134"
"Norway","Salmonids","101"
"Croatia","Bass and bream","89"
"Greece","Bass and bream","81"
"Other","Salmonids","25"
"Lithuania","Salmonids","18"
"Portugal","Salmonids","16"
"Serbia","Salmonids","14"
"Spain","Bass and bream","13"
"Spain","Salmonids","11"
"Netherlands","Salmonids","6"
"Netherlands","Bass and bream","6"
"Türkiye","Bass and bream","3"
"Morocco","Bass and bream","2"
"United Kingdom","Salmonids","2"
"Switzerland","Salmonids","2"
"Germany","Salmonids","2"
"Faroe Islands","Salmonids","1"
"Iceland","Salmonids","1"
"Denmark","Salmonids","1"
"Tunisia","Bass and bream","0"
"Albania","Salmonids","0"
"Italy","Salmonids","0"
"Italy","Bass and bream","0"
"Other","Bass and bream","0"
"Latvia","Salmonids","0"
"Poland","Salmonids","0"
