"Partner Country","Species","Quantity (t)"
"Other","Salmonids","25,699"
"Germany","Salmonids","18,766"
"Belgium","Salmonids","14,735"
"France","Salmonids","11,991"
"Spain","Salmonids","9,595"
"Italy","Salmonids","9,196"
"Germany","Bass and bream","3,300"
"France","Bass and bream","2,996"
"Denmark","Salmonids","2,969"
"Italy","Bass and bream","2,843"
"Poland","Salmonids","2,668"
"Ireland","Salmonids","2,543"
"Spain","Bass and bream","1,801"
"Switzerland","Salmonids","1,664"
"Belgium","Bass and bream","1,537"
"Portugal","Salmonids","1,477"
"Austria","Salmonids","1,420"
"Other","Bass and bream","1,405"
"Czechia","Salmonids","825"
"Malta","Salmonids","690"
"Romania","Salmonids","625"
"Ireland","Bass and bream","556"
"Hungary","Salmonids","520"
"Norway","Salmonids","465"
"United Kingdom","Salmonids","461"
"Finland","Salmonids","410"
"Sweden","Salmonids","353"
"Slovenia","Salmonids","347"
"Denmark","Bass and bream","323"
"Croatia","Salmonids","303"
"Belarus","Salmonids","277"
"Estonia","Salmonids","221"
"Poland","Bass and bream","220"
"Cyprus","Salmonids","212"
"Sweden","Bass and bream","197"
"Greece","Salmonids","179"
"Austria","Bass and bream","174"
"Latvia","Salmonids","108"
"France","Carp","90"
"Slovenia","Bass and bream","89"
"Lithuania","Salmonids","88"
"Germany","Carp","80"
"Portugal","Bass and bream","66"
"Switzerland","Carp","58"
"Belarus","Bass and bream","54"
"Bulgaria","Salmonids","54"
"Romania","Bass and bream","41"
"Slovakia","Salmonids","41"
"Greece","Bass and bream","40"
"Czechia","Bass and bream","40"
"Finland","Bass and bream","38"
"Sweden","Carp","35"
"Croatia","Bass and bream","34"
"Belgium","Carp","29"
"Montenegro","Salmonids","28"
"Türkiye","Salmonids","28"
"Finland","Carp","25"
"United Kingdom","Bass and bream","24"
"Latvia","Bass and bream","23"
"Montenegro","Bass and bream","23"
"Bosnia and Herzegovina","Salmonids","21"
"Portugal","Carp","19"
"Lithuania","Bass and bream","16"
"Estonia","Bass and bream","13"
"Hungary","Bass and bream","13"
"Denmark","Carp","10"
"Malta","Bass and bream","9"
"Italy","Carp","9"
"Morocco","Salmonids","8"
"Ireland","Carp","7"
"Spain","Carp","6"
"Serbia","Salmonids","5"
"Cyprus","Bass and bream","4"
"Greece","Carp","3"
"Iceland","Salmonids","3"
"Poland","Carp","3"
"Austria","Carp","3"
"Slovakia","Bass and bream","3"
"Egypt","Salmonids","2"
"Other","Carp","2"
"Switzerland","Bass and bream","2"
"Bulgaria","Bass and bream","2"
"Türkiye","Bass and bream","1"
"Cyprus","Carp","1"
"Libya","Salmonids","1"
"Moldova","Salmonids","1"
"Malta","Carp","0"
"Norway","Bass and bream","0"
"Czechia","Carp","0"
"Hungary","Carp","0"
"Romania","Carp","0"
"Croatia","Carp","0"
"Lithuania","Carp","0"
"Slovakia","Carp","0"
"Bulgaria","Carp","0"
"Latvia","Carp","0"
"Estonia","Carp","0"
"United Kingdom","Carp","0"
"Slovenia","Carp","0"
