"Partner Country","Species","Quantity (t)"
"Norway","Salmonids","29,304"
"Sweden","Salmonids","24,321"
"Iceland","Salmonids","18,666"
"Faroe Islands","Salmonids","15,909"
"Türkiye","Bass and bream","11,056"
"Other","Salmonids","8,668"
"Poland","Salmonids","5,280"
"Denmark","Salmonids","3,996"
"Germany","Salmonids","3,829"
"Belgium","Salmonids","3,821"
"Greece","Bass and bream","3,144"
"Italy","Bass and bream","1,357"
"France","Salmonids","1,136"
"Spain","Bass and bream","604"
"Germany","Bass and bream","489"
"Other","Carp","346"
"Ireland","Salmonids","291"
"France","Bass and bream","268"
"Belgium","Bass and bream","246"
"Italy","Salmonids","185"
"United Kingdom","Bass and bream","143"
"Germany","Carp","127"
"Spain","Salmonids","121"
"United Kingdom","Salmonids","116"
"Latvia","Salmonids","71"
"Denmark","Bass and bream","61"
"Bulgaria","Salmonids","50"
"Poland","Bass and bream","45"
"Türkiye","Carp","39"
"Lithuania","Salmonids","37"
"Other","Bass and bream","32"
"Czechia","Salmonids","31"
"Switzerland","Salmonids","17"
"Hungary","Salmonids","16"
"Czechia","Bass and bream","13"
"Poland","Carp","11"
"Sweden","Bass and bream","10"
"Estonia","Salmonids","10"
"Austria","Salmonids","9"
"France","Carp","7"
"Hungary","Bass and bream","7"
"Italy","Carp","6"
"Finland","Salmonids","6"
"Portugal","Salmonids","6"
"Estonia","Bass and bream","6"
"Lithuania","Bass and bream","6"
"Croatia","Salmonids","5"
"Greece","Salmonids","4"
"Latvia","Bass and bream","4"
"Romania","Salmonids","4"
"Croatia","Bass and bream","3"
"Austria","Bass and bream","3"
"Ireland","Bass and bream","3"
"Portugal","Bass and bream","2"
"Finland","Bass and bream","2"
"Slovenia","Salmonids","2"
"Denmark","Carp","2"
"Czechia","Carp","2"
"Switzerland","Bass and bream","2"
"Austria","Carp","2"
"Slovakia","Salmonids","2"
"Romania","Bass and bream","1"
"Bulgaria","Bass and bream","1"
"Spain","Carp","1"
"Slovenia","Bass and bream","1"
"Sweden","Carp","1"
"Belgium","Carp","1"
"Slovenia","Carp","1"
"Slovakia","Bass and bream","1"
"Ireland","Carp","1"
"Hungary","Carp","1"
"Slovakia","Carp","1"
"Cyprus","Bass and bream","1"
"Türkiye","Salmonids","1"
"Lithuania","Carp","1"
"Portugal","Carp","0"
"Estonia","Carp","0"
"Finland","Carp","0"
"Romania","Carp","0"
"Latvia","Carp","0"
"Cyprus","Salmonids","0"
"Croatia","Carp","0"
"Greece","Carp","0"
"Bulgaria","Carp","0"
"Malta","Salmonids","0"
"United Kingdom","Carp","0"
"Malta","Bass and bream","0"
"Cyprus","Carp","0"
"Tunisia","Salmonids","0"
