"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"European eel","400","1","0.3",2000,"5,000,000","16,666,667","5,000,000"
"North African catfish","1500","1","0.3",2400,"1,600,000","5,333,333","1,600,000"
"Yellowtail amberjack","4000","1","0.3",1350,"337,500","1,125,000","337,500"
"Turbot","1300","1","0.3",100,"76,923","256,410","76,923"
"Rainbow trout","1300","2.083","0.343",50,"38,462","112,133","80,128"
"Sturgeons nei","6000","1","0.3",150,"25,000","83,333","25,000"
"Marine worms","","","",100,"","",""
"Pike-perch","","","",100,"","",""
"Freshwater fishes nei","","","",70,"","",""
"Soles nei","","","",20,"","",""
