"Partner Country","Species","Quantity (t)"
"Other","Salmonids","288,477"
"Poland","Salmonids","188,489"
"Denmark","Salmonids","113,738"
"France","Salmonids","109,366"
"Netherlands","Salmonids","98,154"
"Spain","Salmonids","81,220"
"Italy","Salmonids","66,175"
"United Kingdom","Salmonids","57,633"
"Germany","Salmonids","42,561"
"Lithuania","Salmonids","33,496"
"Sweden","Salmonids","28,782"
"Finland","Salmonids","21,139"
"Belgium","Salmonids","10,178"
"Portugal","Salmonids","9,631"
"Ireland","Salmonids","7,456"
"Czechia","Salmonids","6,634"
"Türkiye","Salmonids","5,608"
"Greece","Salmonids","5,185"
"Latvia","Salmonids","4,278"
"Estonia","Salmonids","3,877"
"Romania","Salmonids","2,954"
"Switzerland","Salmonids","2,595"
"Egypt","Salmonids","1,663"
"Serbia","Salmonids","1,413"
"Austria","Salmonids","1,152"
"Morocco","Salmonids","600"
"Cyprus","Salmonids","437"
"Bulgaria","Salmonids","338"
"Tunisia","Salmonids","79"
"Moldova","Salmonids","53"
"Hungary","Salmonids","45"
"Slovakia","Salmonids","38"
"Faroe Islands","Salmonids","10"
"Croatia","Salmonids","10"
"Andorra","Salmonids","3"
"Iceland","Salmonids","0"
"Malta","Salmonids","0"
"Other","Bass and bream","0"
