"Partner Country","Species","Quantity (t)"
"Iceland","Salmonids","1,931"
"Denmark","Salmonids","134"
"Greece","Bass and bream","88"
"Sweden","Salmonids","85"
"Türkiye","Bass and bream","59"
"Netherlands","Salmonids","14"
"United Kingdom","Salmonids","10"
"Germany","Salmonids","5"
"Other","Salmonids","5"
"Poland","Carp","5"
"Belgium","Salmonids","4"
"France","Bass and bream","4"
"Poland","Salmonids","4"
"Denmark","Bass and bream","3"
"Latvia","Carp","3"
"Lithuania","Salmonids","2"
"France","Carp","2"
"Spain","Bass and bream","2"
"Switzerland","Salmonids","1"
"Other","Carp","1"
"Czechia","Carp","1"
"Latvia","Salmonids","0"
"Faroe Islands","Salmonids","0"
"Denmark","Carp","0"
"Spain","Salmonids","0"
"Croatia","Bass and bream","0"
"Italy","Carp","0"
"Germany","Carp","0"
"Türkiye","Carp","0"
"Sweden","Bass and bream","0"
"United Kingdom","Bass and bream","0"
"Portugal","Bass and bream","0"
"Other","Bass and bream","0"
"France","Salmonids","0"
"Iceland","Bass and bream","0"
"Estonia","Salmonids","0"
"Czechia","Salmonids","0"
