"Partner Country","Species","Quantity (t)"
"Germany","Salmonids","61,362"
"Other","Salmonids","14,777"
"Italy","Salmonids","14,419"
"Denmark","Salmonids","8,811"
"Czechia","Salmonids","8,093"
"France","Salmonids","6,964"
"Sweden","Salmonids","4,378"
"Netherlands","Salmonids","4,255"
"United Kingdom","Salmonids","3,426"
"Switzerland","Salmonids","2,484"
"Belgium","Salmonids","2,455"
"Spain","Salmonids","1,208"
"Lithuania","Salmonids","1,166"
"Romania","Salmonids","981"
"Slovakia","Salmonids","848"
"Austria","Salmonids","619"
"Portugal","Salmonids","549"
"Finland","Salmonids","416"
"Estonia","Salmonids","349"
"Ireland","Salmonids","309"
"Germany","Bass and bream","287"
"Hungary","Salmonids","245"
"United Kingdom","Carp","231"
"Latvia","Salmonids","215"
"Cyprus","Salmonids","191"
"Bulgaria","Salmonids","158"
"Serbia","Salmonids","150"
"Greece","Salmonids","97"
"Slovenia","Salmonids","91"
"Croatia","Salmonids","86"
"Lithuania","Carp","32"
"North Macedonia","Salmonids","30"
"Malta","Salmonids","29"
"Germany","Carp","20"
"Netherlands","Carp","11"
"Norway","Salmonids","10"
"Bosnia and Herzegovina","Salmonids","5"
"Ireland","Carp","2"
"Faroe Islands","Salmonids","2"
"Sweden","Carp","2"
"Iceland","Salmonids","2"
"Belgium","Carp","1"
"Denmark","Carp","1"
"Latvia","Carp","1"
"Iceland","Carp","1"
"Lithuania","Bass and bream","1"
"Latvia","Bass and bream","0"
"Norway","Carp","0"
"Austria","Carp","0"
"Hungary","Bass and bream","0"
"France","Carp","0"
