"Partner Country","Species","Quantity (t)"
"Sweden","Salmonids","115,508"
"Norway","Salmonids","61,593"
"Denmark","Salmonids","22,391"
"Germany","Salmonids","17,598"
"France","Salmonids","8,436"
"Other","Salmonids","7,422"
"Netherlands","Salmonids","3,271"
"Ireland","Salmonids","3,234"
"Iceland","Salmonids","1,285"
"Finland","Salmonids","791"
"Greece","Bass and bream","600"
"Spain","Salmonids","552"
"Czechia","Carp","505"
"Türkiye","Bass and bream","441"
"Belgium","Salmonids","417"
"Lithuania","Salmonids","347"
"Estonia","Salmonids","324"
"Latvia","Salmonids","308"
"Croatia","Bass and bream","226"
"Italy","Bass and bream","164"
"Netherlands","Bass and bream","51"
"Greece","Salmonids","47"
"Spain","Bass and bream","41"
"Czechia","Salmonids","27"
"Croatia","Salmonids","22"
"United Kingdom","Salmonids","21"
"Sweden","Bass and bream","16"
"Germany","Bass and bream","14"
"Portugal","Salmonids","14"
"France","Bass and bream","6"
"Denmark","Bass and bream","2"
"Other","Carp","1"
"Slovakia","Salmonids","1"
"Italy","Salmonids","0"
"Lithuania","Bass and bream","0"
"Czechia","Bass and bream","0"
"Belarus","Salmonids","0"
