"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Rainbow trout","1300","2.083","0.00343",20000,"15,384,615","4,485,310,608","32,051,282"
"Common carp","1500","3","0.0068",18000,"12,000,000","1,764,705,882","36,000,000"
"Silver carp","1500","3","0.0068",625,"416,667","61,274,510","1,250,000"
"Cyprinids nei","1500","3","0.0068",550,"366,667","53,921,569","1,100,000"
"Bighead carp","1500","3","0.0068",311,"207,333","30,490,196","622,000"
"Sturgeons nei","6000","1","0.003",933,"155,500","51,833,333","155,500"
"North African catfish","1500","1","0.003",200,"133,333","44,444,444","133,333"
"Freshwater fishes nei","","","",3235,"","",""
"Salmonoids nei","","","",1200,"","",""
"Grass carp(=White amur)","","","",625,"","",""
"Northern pike","","","",160,"","",""
"Tench","","","",160,"","",""
"Wels(=Som) catfish","","","",110,"","",""
"Euro-American crayfishes nei","","","",1,"","",""
"Nile tilapia","","","",0,"","",""
