"Partner Country","Species","Quantity (t)"
"Spain","Bass and bream","11,959"
"Spain","Salmonids","9,115"
"Denmark","Salmonids","6,713"
"Other","Bass and bream","4,182"
"Greece","Bass and bream","3,633"
"Sweden","Salmonids","2,854"
"Other","Salmonids","1,986"
"Italy","Bass and bream","1,866"
"Slovenia","Bass and bream","1,017"
"Netherlands","Bass and bream","917"
"Netherlands","Salmonids","749"
"Italy","Salmonids","595"
"Germany","Salmonids","557"
"France","Salmonids","230"
"Poland","Salmonids","149"
"France","Bass and bream","80"
"Belgium","Salmonids","11"
"Germany","Bass and bream","7"
"Ireland","Bass and bream","3"
"United Kingdom","Bass and bream","2"
"Malta","Salmonids","2"
"Finland","Bass and bream","2"
"Estonia","Salmonids","2"
"Ireland","Salmonids","0"
"Other","Carp","0"
"Norway","Salmonids","0"
"Czechia","Salmonids","0"
"United Kingdom","Carp","0"
"United Kingdom","Salmonids","0"
"Switzerland","Salmonids","0"
