"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Gilthead seabream","350","2.083","0.0026",3300,"9,428,571","3,626,373,626","19,642,857"
"Turbot","1300","1","0.003",3800,"2,923,077","974,358,974","2,923,077"
"Gilthead seabream","350","2.083","0.0026",750,"2,142,857","824,175,824","4,464,286"
"European seabass","400","2.083","0.00214",600,"1,500,000","700,934,579","3,125,000"
"European seabass","400","2.083","0.00214",530,"1,325,000","619,158,879","2,760,417"
"Rainbow trout","1300","2.083","0.00343",860,"661,538","192,868,356","1,378,205"
"Senegalese sole","","","",175,"","",""
"","","","",155,"","",""
"Freshwater fishes nei","","","",10,"","",""
"Desert dace","","","",4,"","",""
"Atlantic ditch shrimp","","","",3,"","",""
"European eel","","","",1,"","",""
"White seabream","","","",1,"","",""
