"Country","Bass and bream (M)","Salmonids (M)","Other (M)","Carp (M)","Total (M)"
"Turkey",856.3,177,4,0.2,1037.5
"Norway",0,411.6,0,0,411.6
"Greece",285.6,1.5,4.3,0,291.4
"Spain",94.9,13.1,15.3,0,123.3
"Italy",34.6,23.5,0.8,0.1,59
"Croatia",49.4,0.5,0,2.2,52.1
"United Kingdom",0,51,0.4,0.1,51.5
"France",13.7,27.5,6.2,0.9,48.3
"Poland",0,14.3,0,13.4,27.7
"Cyprus",24.5,0,1.2,0,25.7
"Faroe Islands",0,23.7,0,0,23.7
"Albania",18.3,0.4,0,0,18.7
"Denmark",0,15.7,0.3,0,16
"Portugal",12.3,0.1,2.6,0,15
"Germany",0,6.1,5,2.9,14
"Finland",0,12.1,0,0,12.1
"Czechia",0,0.3,0,11,11.3
"Iceland",0,10.9,0,0,10.9
"Moldova",0,0,0,8.3,8.3
"Bulgaria",0,4.5,1.3,2.2,8
"Hungary",0,0.1,0,7.9,8
"Malta",7.2,0,0,0,7.2
"Romania",0,2.5,0,4,6.5
"Sweden",0,5.9,0.2,0,6.1
"Netherlands",0,0.1,5.8,0,5.9
"Belarus",0,0.4,0,5.3,5.7
"Serbia",0,1.4,0,2.7,4.1
"Bosnia and Herz.",0.2,3.5,0,0.2,3.9
"Austria",0,1.8,1.4,0.4,3.6
"Ireland",0,3.3,0,0,3.3
"Lithuania",0,0.3,0,1.8,2.1
"Switzerland",0,1.1,0.9,0,2
"North Macedonia",0,1.3,0,0.4,1.7
"Montenegro",0.5,0.8,0,0,1.3
"Slovakia",0,0.8,0,0.3,1.1
"Estonia",0,0.7,0.1,0,0.8
"Slovenia",0.1,0.5,0,0.1,0.7
"Latvia",0,0,0,0.3,0.3
