"Partner Country","Species","Quantity (t)"
"Moldova","Salmonids","901"
"Bulgaria","Salmonids","133"
"Moldova","Bass and bream","122"
"Hungary","Salmonids","108"
"Estonia","Salmonids","64"
"Denmark","Salmonids","39"
"Latvia","Salmonids","29"
"United Kingdom","Carp","16"
"Czechia","Salmonids","10"
"Austria","Salmonids","6"
"Hungary","Bass and bream","5"
"Slovakia","Salmonids","4"
"United Kingdom","Salmonids","4"
"Other","Salmonids","3"
"Bulgaria","Bass and bream","3"
"Italy","Carp","2"
"Lithuania","Salmonids","2"
"Czechia","Bass and bream","1"
"Bulgaria","Carp","1"
"Italy","Salmonids","1"
"Spain","Salmonids","1"
"Albania","Salmonids","1"
"Cyprus","Salmonids","1"
"France","Carp","1"
"Moldova","Carp","1"
"Belgium","Carp","1"
"France","Salmonids","0"
"Germany","Bass and bream","0"
"Belgium","Salmonids","0"
"Croatia","Bass and bream","0"
"Austria","Bass and bream","0"
"Denmark","Carp","0"
"Greece","Carp","0"
"Ireland","Carp","0"
"Netherlands","Salmonids","0"
"Netherlands","Carp","0"
"Germany","Carp","0"
"Slovakia","Bass and bream","0"
"Germany","Salmonids","0"
"Greece","Salmonids","0"
"Italy","Bass and bream","0"
"Denmark","Bass and bream","0"
"Finland","Carp","0"
