"Partner Country","Species","Quantity (t)"
"Greece","Bass and bream","3,394"
"Czechia","Salmonids","3,302"
"Hungary","Carp","2,770"
"Denmark","Salmonids","2,662"
"Sweden","Salmonids","2,614"
"Türkiye","Bass and bream","1,419"
"Bulgaria","Carp","1,073"
"Netherlands","Salmonids","812"
"Germany","Salmonids","536"
"Poland","Salmonids","523"
"Italy","Carp","490"
"Czechia","Carp","403"
"Croatia","Carp","304"
"Greece","Carp","299"
"Italy","Bass and bream","260"
"Other","Salmonids","152"
"Italy","Salmonids","117"
"Bulgaria","Salmonids","108"
"Netherlands","Bass and bream","103"
"Netherlands","Carp","74"
"Finland","Salmonids","56"
"Latvia","Salmonids","48"
"France","Salmonids","43"
"Spain","Salmonids","20"
"Spain","Bass and bream","19"
"Hungary","Salmonids","16"
"Lithuania","Salmonids","16"
"Poland","Carp","16"
"Türkiye","Carp","16"
"Greece","Salmonids","13"
"Spain","Carp","8"
"Germany","Carp","4"
"Other","Carp","4"
"France","Bass and bream","3"
"Slovakia","Salmonids","3"
"Belgium","Carp","2"
"Bulgaria","Bass and bream","2"
"Türkiye","Salmonids","2"
"Denmark","Bass and bream","2"
"Germany","Bass and bream","2"
"Ireland","Salmonids","2"
"Belgium","Salmonids","1"
"Denmark","Carp","1"
"Estonia","Carp","1"
"Croatia","Bass and bream","1"
"Portugal","Salmonids","0"
"Portugal","Bass and bream","0"
"Czechia","Bass and bream","0"
"Hungary","Bass and bream","0"
"Austria","Salmonids","0"
"Latvia","Carp","0"
