"Species","Harvest weight (g)","Harvest age (years)","Mortality rate","Production (t)","Individuals slaughtered","Individuals hatched","Individuals inventory"
"Common carp","1000","0.375","0.5",3061.73,"3,061,730","6,123,460","1,148,149"
"Crucian carp","375","0.5","0.05",786.17,"2,096,453","41,929,067","1,048,227"
"Bighead carp","1125","1.167","0.25",2252.92,"2,002,596","8,010,382","2,336,361"
"Silver carp","1000","0.917","0.25",1279.62,"1,279,620","5,118,480","1,172,985"
"Rainbow trout","4000","1.125","0.19",3107.16,"776,790","4,088,368","873,889"
"Sturgeons nei","600","0.542","0.27",177.43,"295,717","1,095,247","160,180"
"North African catfish","500","0.667","0.4",46.01,"92,020","230,050","61,347"
"Grass carp(=White amur)","4500","2","0.25",140.77,"31,282","125,129","62,564"
"Freshwater fishes nei","","","",215,"","",""
"Wels(=Som) catfish","","","",77.72,"","",""
"Pike-perch","","","",48.51,"","",""
"Northern pike","","","",17.74,"","",""
