"Partner Country","Species","Quantity (t)"
"Norway","Salmonids","1,777"
"Greece","Bass and bream","429"
"Croatia","Carp","396"
"Bulgaria","Carp","150"
"Hungary","Carp","110"
"Croatia","Bass and bream","109"
"Romania","Carp","101"
"Czechia","Carp","89"
"Poland","Salmonids","85"
"Other","Salmonids","76"
"Türkiye","Bass and bream","62"
"North Macedonia","Carp","54"
"Other","Carp","42"
"Sweden","Salmonids","16"
"Albania","Bass and bream","10"
"Germany","Salmonids","10"
"France","Salmonids","8"
"Spain","Bass and bream","5"
"Lithuania","Salmonids","3"
"Other","Bass and bream","2"
"Estonia","Salmonids","1"
"Latvia","Salmonids","1"
"Albania","Carp","1"
"Italy","Salmonids","0"
"Netherlands","Bass and bream","0"
"Portugal","Salmonids","0"
"Spain","Salmonids","0"
"Bulgaria","Salmonids","0"
"Netherlands","Salmonids","0"
