"Partner Country","Species","Quantity (t)"
"Czechia","Salmonids","4"
"Hungary","Salmonids","1"
"Poland","Salmonids","1"
"Germany","Salmonids","1"
"Austria","Salmonids","1"
"Denmark","Salmonids","1"
"Croatia","Bass and bream","0"
"Hungary","Bass and bream","0"
"Hungary","Carp","0"
"Poland","Carp","0"
"Czechia","Bass and bream","0"
"United Kingdom","Salmonids","0"
"Romania","Salmonids","0"
"Slovenia","Salmonids","0"
"Austria","Carp","0"
"Italy","Salmonids","0"
"Malta","Salmonids","0"
"Bulgaria","Salmonids","0"
"Greece","Salmonids","0"
"Croatia","Salmonids","0"
"Austria","Bass and bream","0"
