"Partner Country","Species","Quantity (t)"
"Czechia","Salmonids","2,269"
"Poland","Salmonids","1,127"
"Germany","Salmonids","945"
"Czechia","Carp","940"
"Latvia","Salmonids","221"
"Czechia","Bass and bream","125"
"Germany","Bass and bream","108"
"Austria","Salmonids","80"
"Hungary","Salmonids","48"
"Hungary","Carp","42"
"Croatia","Carp","42"
"Croatia","Bass and bream","40"
"Italy","Bass and bream","39"
"Other","Salmonids","21"
"Italy","Salmonids","13"
"Netherlands","Salmonids","11"
"Spain","Salmonids","9"
"Denmark","Salmonids","7"
"Romania","Salmonids","4"
"France","Salmonids","3"
"Austria","Bass and bream","2"
"Hungary","Bass and bream","1"
"Poland","Carp","0"
"Romania","Bass and bream","0"
"Netherlands","Bass and bream","0"
"Belgium","Salmonids","0"
"United Kingdom","Salmonids","0"
"Croatia","Salmonids","0"
"Portugal","Salmonids","0"
"Greece","Salmonids","0"
"Slovenia","Salmonids","0"
"Slovenia","Bass and bream","0"
"Finland","Salmonids","0"
"Austria","Carp","0"
